,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Inflow_Rate,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
167,2014-06-30,7611.35,18.0903,4.055359989373008,0.05275278528897154,6.0,41630654.54776,2138591.596039553,42230654.547759995,44553599.893730074
168,2014-07-31,7721.3,18.3521,3.7303191815230043,0.014445532001550188,6.0,42182031.50027515,651376.952515148,42882031.50027514,41303191.81523004
169,2014-08-28,7954.35,18.7958,3.8747357131913596,0.03018274124823539,6.0,43405200.84237287,1323169.3420977192,44205200.842372864,42747357.131913595
170,2014-09-30,7964.8,18.3308,3.563047837295904,0.0013137465663441983,6.0,43412224.27594102,107023.43356814767,44312224.275941014,39630478.37295904
171,2014-10-31,8322.2,19.2168,3.6573395265543684,0.0448724387304138,6.0,45310236.64991417,1998012.373973146,46310236.64991416,40573395.265543684
172,2014-11-28,8588.25,19.8384,3.3844445578925875,0.0319687101968229,6.0,46708746.47432474,1498509.8244105699,47808746.47432473,37844445.57892588
173,2014-12-31,8282.7,19.3627,2.98111031002163,-0.03557767880534446,6.0,44996957.69486095,-1611788.779463791,46196957.69486094,33811103.1002163
174,2015-01-30,8808.9,20.6181,3.2811527993779164,0.06353000833061673,6.0,47805614.79206788,2908657.0972069246,49105614.79206787,36811527.99377917
175,2015-02-28,8901.85,20.815,3.232426007369547,0.01055182826459622,6.0,48260051.42943722,554436.637369341,49660051.42943721,36324260.073695466
176,2015-03-31,8491.0,22.3897,3.171149264362734,-0.04615332767907798,6.0,45982689.46200525,-2177361.967431972,47482689.46200524,35711492.643627346
177,2015-04-30,8181.5,21.6268,3.300394218134034,-0.03645035920386286,6.0,44256603.91395548,-1626085.5480497708,45856603.91395547,37003942.18134034
178,2015-05-29,8433.65,22.5688,3.0399750904169958,0.03081953187068387,6.0,45570571.72876986,1413967.8148143834,47270571.72876985,34399750.90416996
179,2015-06-30,8368.5,21.6067,2.768576060524183,-0.007725006373278442,6.0,45168538.77173117,-302032.9570386896,46968538.77173116,31685760.605241828
180,2015-07-31,8532.85,22.0366,2.690200233533711,0.019639122901356387,6.0,46005609.25594388,937070.4842127095,47905609.25594387,30902002.33533711
181,2015-08-31,7971.3,20.5994,2.3427547019478747,-0.06581036816538444,6.0,42927963.1731374,-2977646.082806485,44927963.17313739,27427547.019478746
182,2015-09-30,7948.9,20.2027,2.055623894825863,-0.0028100811661837533,6.0,42757332.112321936,-70631.06081546315,44857332.11232193,24556238.94825863
183,2015-10-30,8065.8,20.5002,2.4019274974166476,0.014706437368692482,6.0,43336140.13908418,678808.0267622464,45536140.139084175,28019274.974166475
184,2015-11-30,7935.25,20.1659,1.9918936751814496,-0.016185623248778813,6.0,42584717.70173669,-651422.4373474977,44884717.70173668,23918936.751814496
185,2015-12-31,7946.35,20.7102,1.8014136891646544,0.0013988217132416825,6.0,42594286.12951014,109568.42777345671,44994286.129510134,22014136.891646545
186,2016-01-29,7563.55,19.7129,1.5202592382792979,-0.04817306058756543,6.0,40492389.00310915,-2001897.12640099,42992389.00310914,19202592.38279298
187,2016-02-29,6987.05,18.2043,1.2724330829023973,-0.07622082223294613,6.0,37356025.81911586,-3036363.183993285,39956025.819115855,16724330.829023974
