,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years,IRR
227,2019-06-28,11788.85,25.4648,1.747279252406143,-0.011234777065789792,43146898.513250954,-440821.7982118612,55846898.51325097,21472792.52406143,19.239503133771695
228,2019-07-31,11118.0,23.6526,1.3979553322045963,-0.056905465757898344,40641604.15734564,-2405294.3559053172,53441604.15734565,17979553.322045963,14.46296968394558
229,2019-08-30,11023.25,23.451,1.3644387722271079,-0.00852221622593996,40245247.61894768,-296356.53839795996,53145247.61894769,17644387.722271077,13.9680890589031
230,2019-09-30,11474.45,24.2969,1.2569950530591374,0.04093166715805241,41842552.69917984,1697305.0802321676,54842552.69917986,16569950.530591374,12.331245768931186
231,2019-10-31,11877.45,25.3647,1.520841734405841,0.03512150909193901,43262126.29423402,1519573.595054182,56362126.29423404,19208417.34405841,16.218789950936817
232,2019-11-29,12056.05,25.7093,1.3955431478133011,0.015036897650589909,43862654.459467314,700528.1652332915,57062654.45946733,17955431.47813301,14.427591407462103
233,2019-12-31,12168.45,25.3833,1.3396141163803463,0.009323119927339585,44221591.247324385,458936.7878570702,57521591.2473244,17396141.163803466,13.596861229626622
234,2020-01-31,11962.1,25.272100000000002,1.4502207064655215,-0.016957788378963667,43421690.86117122,-699900.3861531588,56821690.86117124,18502207.064655215,15.22069573125533
235,2020-02-28,11201.75,23.5587,1.2757146049610952,-0.06356325394370554,40611666.89829752,-2710023.9628737047,54111666.89829753,16757146.049610952,12.622190578774518
236,2020-03-31,8597.75,19.5069,0.6379474576594082,-0.23246367755038277,31120929.45966813,-9390737.438629389,44720929.459668145,10379474.57659408,0.8612895464618298
237,2020-04-30,9859.9,22.3706,0.8681129215611973,0.14680003489284976,35639482.99024533,4618553.530577198,49339482.99024534,12681129.215611974,5.621660463822331
238,2020-05-29,9580.3,21.7074,0.8835499282386015,-0.0283572855708476,34578843.99349357,-960638.9967517523,48378843.99349359,12835499.282386014,5.916339269491
239,2020-06-30,10302.1,26.7436,0.9392188235294119,0.07534210828470944,37134087.00201144,2655243.0085178674,51034087.002011456,13392188.235294119,6.956860753986094
240,2020-07-31,11073.45,28.1737,1.0630169908338925,0.0748730841284786,39864430.622147284,2830343.620135846,53864430.6221473,14630169.908338925,9.156618529845172
241,2020-08-31,11387.5,28.9959,1.1078594698652453,0.028360628349791472,40945010.92339805,1180580.3012507656,55045010.92339806,15078594.698652454,9.918073376604575
242,2020-09-30,11247.55,27.9579,0.8652808066401876,-0.012289791437980258,40391805.278723665,-453205.64467438543,54591805.27872368,12652808.066401877,5.56729848582882
243,2020-10-30,11642.4,28.9394,0.9346926566628446,0.03510542295877772,41759776.68710185,1467971.4083781848,56059776.68710186,13346926.566628447,6.873517774654414
244,2020-11-27,12968.95,32.2368,1.212112166749109,0.1139412835841409,46467939.24501732,4808162.557915468,60867939.245017335,16121121.66749109,11.623213812919886
245,2020-12-31,13981.75,33.2749,1.279199608770071,0.07809421734219035,50046816.5918614,3678877.3468440794,64546816.59186141,16791996.08770071,12.676079008691033
246,2021-01-29,13634.6,32.4338,1.47636172106286,-0.024828794678777633,48754214.458375625,-1192602.1334857685,63354214.45837564,18763617.2106286,15.593513569244855
247,2021-02-26,14529.15,34.5618,1.7242581915342425,0.06560881874055702,51902920.87761343,3248706.4192378107,66602920.87761345,21242581.915342424,18.943924982966177
248,2021-03-31,14690.7,31.6548,1.5182258410113563,0.01111902623346861,52430030.81644526,627109.9388318293,67230030.81644528,19182258.410113562,16.18232729928033
249,2021-04-30,14631.1,31.514,1.5447604139490392,-0.0040569884348601315,52167322.787783585,-162708.02866167872,67067322.7877836,19447604.139490392,16.55042966671758
250,2021-05-17,14808.9,31.6145,1.6633993687220672,0.012152196348873323,52751270.337295786,683947.5495121998,67751270.3372958,20633993.68722067,18.150477233446406
